gtfs_route_id,route_name_display,data_note,route_category,cost_effectiveness_rank,crowding_metric,reliability_metric,span_of_service_metric,frequency_metric,perc_low_income_riders,perc_minority_riders,perc_vulnerable_fare_riders,perc_1_ride_journeys,perc_2_ride_journeys,perc_3_ride_journeys,perc_4more_ride_journeys,average_daily_boardings
Blue,Blue Line,No Service Delivery Policy Metrics Available,Subway,,,,Pass,Pass,,,11%,69.73%,21.14%,8.20%,0.94%,75266.83812
CapeFlyer,CapeFLYER,No ODX or Service Delivery Policy Data Available,,,,,,,,,,,,,,
Boat-F4,Charlestown Ferry,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
CR-Fairmount,Fairmount Line,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
CR-Fitchburg,Fitchburg Line,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
CR-Worcester,Framingham/Worcester Line,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
CR-Franklin,Franklin Line,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
Green-B,Green Line B,No Service Delivery Policy Metrics Available,Subway,,,,Pass,Pass,,,10%,73.23%,17.74%,7.51%,1.53%,147151.9934
Green-C,Green Line C,No Service Delivery Policy Metrics Available,Subway,,,,Pass,Pass,,,10%,61.14%,33.91%,4.52%,0.43%,137060.8257
Green-D,Green Line D,No Service Delivery Policy Metrics Available,Subway,,,,Pass,Pass,,,10%,64.97%,28.62%,5.55%,0.85%,146671.5117
Green-E,Green Line E,No Service Delivery Policy Metrics Available,Subway,,,,Pass,Pass,,,10%,60.79%,34.19%,4.72%,0.30%,122748.9452
CR-Greenbush,Greenbush Line,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
CR-Haverhill,Haverhill Line,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
Boat-F1,Hingham Ferry,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
Boat-F3,Hull Ferry,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
CR-Kingston,Kingston/Plymouth Line,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
CR-Lowell,Lowell Line,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
Logan-44,Massport Ferry Terminal Shuttle (44),No ODX or Service Delivery Policy Data Available,,,,,,,,,,,,,,
Logan-66,Massport Subway / Ferry Terminal Shuttle (66),No ODX or Service Delivery Policy Data Available,,,,,,,,,,,,,,
Logan-22,Massport Subway Shuttle (22),No ODX or Service Delivery Policy Data Available,,,,,,,,,,,,,,
Logan-33,Massport Subway Shuttle (33),No ODX or Service Delivery Policy Data Available,,,,,,,,,,,,,,
Logan-55,Massport Subway Shuttle (55),No ODX or Service Delivery Policy Data Available,,,,,,,,,,,,,,
Mattapan,Mattapan Trolley,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
CR-Middleborough,Middleborough/Lakeville Line,No ODX or Service Delivery Policy Data Available,,,,,Pass,Fail,,,,,,,,
CR-Needham,Needham Line,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
CR-Newburyport,Newburyport/Rockport Line,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
Orange,Orange Line,No Service Delivery Policy Metrics Available,Subway,,,,Pass,Pass,,,14%,69.74%,27.20%,2.90%,0.16%,199632.5278
CR-Providence,Providence/Stoughton Line,No ODX or Service Delivery Policy Data Available,,,,,Pass,Pass,,,,,,,,
Red,Red Line,No Service Delivery Policy Metrics Available,Subway,,,,Pass,Pass,,,10%,75.57%,20.67%,3.44%,0.32%,498103.9001
